sample_id,split,segment_id,start_time,end_time,input_std_paths_json,target_std_paths_json,input_times_json,target_times_json,center_code,product_code,lat_min,lat_max,lon_min,lon_max
S001246,train,1,2026-01-28 23:24:00,2026-01-29 00:06:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128232400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128233000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128233600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:24:00"", ""2026-01-28 23:30:00"", ""2026-01-28 23:36:00"", ""2026-01-28 23:42:00"", ""2026-01-28 23:48:00""]","[""2026-01-28 23:54:00"", ""2026-01-29 00:00:00"", ""2026-01-29 00:06:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001247,train,1,2026-01-28 23:30:00,2026-01-29 00:12:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128233000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128233600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:30:00"", ""2026-01-28 23:36:00"", ""2026-01-28 23:42:00"", ""2026-01-28 23:48:00"", ""2026-01-28 23:54:00""]","[""2026-01-29 00:00:00"", ""2026-01-29 00:06:00"", ""2026-01-29 00:12:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001248,train,1,2026-01-28 23:36:00,2026-01-29 00:18:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128233600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:36:00"", ""2026-01-28 23:42:00"", ""2026-01-28 23:48:00"", ""2026-01-28 23:54:00"", ""2026-01-29 00:00:00""]","[""2026-01-29 00:06:00"", ""2026-01-29 00:12:00"", ""2026-01-29 00:18:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001249,train,1,2026-01-28 23:42:00,2026-01-29 00:24:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:42:00"", ""2026-01-28 23:48:00"", ""2026-01-28 23:54:00"", ""2026-01-29 00:00:00"", ""2026-01-29 00:06:00""]","[""2026-01-29 00:12:00"", ""2026-01-29 00:18:00"", ""2026-01-29 00:24:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001250,train,1,2026-01-28 23:48:00,2026-01-29 00:30:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128234800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:48:00"", ""2026-01-28 23:54:00"", ""2026-01-29 00:00:00"", ""2026-01-29 00:06:00"", ""2026-01-29 00:12:00""]","[""2026-01-29 00:18:00"", ""2026-01-29 00:24:00"", ""2026-01-29 00:30:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001251,train,1,2026-01-28 23:54:00,2026-01-29 00:36:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260128235400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-28 23:54:00"", ""2026-01-29 00:00:00"", ""2026-01-29 00:06:00"", ""2026-01-29 00:12:00"", ""2026-01-29 00:18:00""]","[""2026-01-29 00:24:00"", ""2026-01-29 00:30:00"", ""2026-01-29 00:36:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001252,train,1,2026-01-29 00:00:00,2026-01-29 00:42:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:00:00"", ""2026-01-29 00:06:00"", ""2026-01-29 00:12:00"", ""2026-01-29 00:18:00"", ""2026-01-29 00:24:00""]","[""2026-01-29 00:30:00"", ""2026-01-29 00:36:00"", ""2026-01-29 00:42:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001253,train,1,2026-01-29 00:06:00,2026-01-29 00:48:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129000600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:06:00"", ""2026-01-29 00:12:00"", ""2026-01-29 00:18:00"", ""2026-01-29 00:24:00"", ""2026-01-29 00:30:00""]","[""2026-01-29 00:36:00"", ""2026-01-29 00:42:00"", ""2026-01-29 00:48:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001254,train,1,2026-01-29 00:12:00,2026-01-29 00:54:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:12:00"", ""2026-01-29 00:18:00"", ""2026-01-29 00:24:00"", ""2026-01-29 00:30:00"", ""2026-01-29 00:36:00""]","[""2026-01-29 00:42:00"", ""2026-01-29 00:48:00"", ""2026-01-29 00:54:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001255,train,1,2026-01-29 00:18:00,2026-01-29 01:00:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129001800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:18:00"", ""2026-01-29 00:24:00"", ""2026-01-29 00:30:00"", ""2026-01-29 00:36:00"", ""2026-01-29 00:42:00""]","[""2026-01-29 00:48:00"", ""2026-01-29 00:54:00"", ""2026-01-29 01:00:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001256,train,1,2026-01-29 00:24:00,2026-01-29 01:06:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129002400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:24:00"", ""2026-01-29 00:30:00"", ""2026-01-29 00:36:00"", ""2026-01-29 00:42:00"", ""2026-01-29 00:48:00""]","[""2026-01-29 00:54:00"", ""2026-01-29 01:00:00"", ""2026-01-29 01:06:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001257,train,1,2026-01-29 00:30:00,2026-01-29 01:12:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:30:00"", ""2026-01-29 00:36:00"", ""2026-01-29 00:42:00"", ""2026-01-29 00:48:00"", ""2026-01-29 00:54:00""]","[""2026-01-29 01:00:00"", ""2026-01-29 01:06:00"", ""2026-01-29 01:12:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001258,train,1,2026-01-29 00:36:00,2026-01-29 01:18:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129003600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:36:00"", ""2026-01-29 00:42:00"", ""2026-01-29 00:48:00"", ""2026-01-29 00:54:00"", ""2026-01-29 01:00:00""]","[""2026-01-29 01:06:00"", ""2026-01-29 01:12:00"", ""2026-01-29 01:18:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001259,train,1,2026-01-29 00:42:00,2026-01-29 01:24:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:42:00"", ""2026-01-29 00:48:00"", ""2026-01-29 00:54:00"", ""2026-01-29 01:00:00"", ""2026-01-29 01:06:00""]","[""2026-01-29 01:12:00"", ""2026-01-29 01:18:00"", ""2026-01-29 01:24:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001260,train,1,2026-01-29 00:48:00,2026-01-29 01:30:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129004800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:48:00"", ""2026-01-29 00:54:00"", ""2026-01-29 01:00:00"", ""2026-01-29 01:06:00"", ""2026-01-29 01:12:00""]","[""2026-01-29 01:18:00"", ""2026-01-29 01:24:00"", ""2026-01-29 01:30:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001261,train,1,2026-01-29 00:54:00,2026-01-29 01:36:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129005400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 00:54:00"", ""2026-01-29 01:00:00"", ""2026-01-29 01:06:00"", ""2026-01-29 01:12:00"", ""2026-01-29 01:18:00""]","[""2026-01-29 01:24:00"", ""2026-01-29 01:30:00"", ""2026-01-29 01:36:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001262,train,1,2026-01-29 01:00:00,2026-01-29 01:42:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 01:00:00"", ""2026-01-29 01:06:00"", ""2026-01-29 01:12:00"", ""2026-01-29 01:18:00"", ""2026-01-29 01:24:00""]","[""2026-01-29 01:30:00"", ""2026-01-29 01:36:00"", ""2026-01-29 01:42:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001263,train,1,2026-01-29 01:06:00,2026-01-29 01:48:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129010600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 01:06:00"", ""2026-01-29 01:12:00"", ""2026-01-29 01:18:00"", ""2026-01-29 01:24:00"", ""2026-01-29 01:30:00""]","[""2026-01-29 01:36:00"", ""2026-01-29 01:42:00"", ""2026-01-29 01:48:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001264,train,1,2026-01-29 01:12:00,2026-01-29 01:54:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129015400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 01:12:00"", ""2026-01-29 01:18:00"", ""2026-01-29 01:24:00"", ""2026-01-29 01:30:00"", ""2026-01-29 01:36:00""]","[""2026-01-29 01:42:00"", ""2026-01-29 01:48:00"", ""2026-01-29 01:54:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S001265,train,1,2026-01-29 01:18:00,2026-01-29 02:00:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129011800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129012400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129013600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129014800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129015400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260129020000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-29 01:18:00"", ""2026-01-29 01:24:00"", ""2026-01-29 01:30:00"", ""2026-01-29 01:36:00"", ""2026-01-29 01:42:00""]","[""2026-01-29 01:48:00"", ""2026-01-29 01:54:00"", ""2026-01-29 02:00:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
